uri,pref label,label,comment,domain,domain > uri,range,range > uri,sub class of,sub class of > uri,type,type > uri
http://education.data.gov.uk/def/school/BoardingEstablishment,,Has boarders,A class used as a boolean marker to indicate Has boarders,,,,,,,,http://www.w3.org/2002/07/owl#Class
http://education.data.gov.uk/def/school/BurnhamReport_Independent_Schools,Independent Schools,Independent Schools,,,,,,,,,http://education.data.gov.uk/def/school/BurnhamReport_TERM
http://education.data.gov.uk/def/school/BurnhamReport_Independent_Schools,Independent Schools,Independent Schools,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/BurnhamReport_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://education.data.gov.uk/def/school/BurnhamReport_TERM
http://education.data.gov.uk/def/school/BurnhamReport_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/BurnhamReport_Primary_Secondary_and_Nursery,"Primary, Secondary and Nursery","Primary, Secondary and Nursery",,,,,,,,,http://education.data.gov.uk/def/school/BurnhamReport_TERM
http://education.data.gov.uk/def/school/BurnhamReport_Primary_Secondary_and_Nursery,"Primary, Secondary and Nursery","Primary, Secondary and Nursery",,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/BurnhamReport_TERM,,burnham report terms,controlled terms for describing burnham report,,,,,Concept,http://www.w3.org/2004/02/skos/core#Concept,,http://www.w3.org/2002/07/owl#Class
http://education.data.gov.uk/def/school/CensusRecord,,Census Record,A record of school population numbers for a particular time interval,,,,,,,,http://www.w3.org/2002/07/owl#Class
http://education.data.gov.uk/def/school/Diocese,,Diocese,TODO insert formal definition here,,,,,,,,http://www.w3.org/2002/07/owl#Class
http://education.data.gov.uk/def/school/EBD,,pupil referral unit provides for Educational and Behavioural Difficulties,,School,http://education.data.gov.uk/def/school/School,boolean,http://www.w3.org/2001/XMLSchema#boolean,,,,http://www.w3.org/2002/07/owl#DatatypeProperty
http://education.data.gov.uk/def/school/EIC,,excellence in cities,,School,http://education.data.gov.uk/def/school/School,EIC,http://education.data.gov.uk/def/school/EIC,,,,http://www.w3.org/2002/07/owl#ObjectProperty
http://education.data.gov.uk/def/school/EICCLS,,excellence in cities cls,,School,http://education.data.gov.uk/def/school/School,boolean,http://www.w3.org/2001/XMLSchema#boolean,,,,http://www.w3.org/2002/07/owl#DatatypeProperty
http://education.data.gov.uk/def/school/EICGroup,,excellence in cities group,,School,http://education.data.gov.uk/def/school/School,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM,,,,http://www.w3.org/2002/07/owl#ObjectProperty
http://education.data.gov.uk/def/school/EICGroup_Clusters,Clusters,Clusters,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_Clusters,Clusters,Clusters,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
http://education.data.gov.uk/def/school/EICGroup_EiC_Primary,EiC Primary,EiC Primary,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_EiC_Primary,EiC Primary,EiC Primary,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
http://education.data.gov.uk/def/school/EICGroup_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_Not_applicable,Not applicable,Not applicable,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
http://education.data.gov.uk/def/school/EICGroup_Phase_1_Primary,Phase 1 Primary,Phase 1 Primary,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_Phase_1_Primary,Phase 1 Primary,Phase 1 Primary,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
http://education.data.gov.uk/def/school/EICGroup_Phase_1_Secondary,Phase 1 Secondary,Phase 1 Secondary,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_Phase_1_Secondary,Phase 1 Secondary,Phase 1 Secondary,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
http://education.data.gov.uk/def/school/EICGroup_Phase_2_Primary,Phase 2 Primary,Phase 2 Primary,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_Phase_2_Primary,Phase 2 Primary,Phase 2 Primary,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
http://education.data.gov.uk/def/school/EICGroup_Phase_2_Secondary,Phase 2 Secondary,Phase 2 Secondary,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_Phase_2_Secondary,Phase 2 Secondary,Phase 2 Secondary,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
http://education.data.gov.uk/def/school/EICGroup_Phase_3_Primary,Phase 3 Primary,Phase 3 Primary,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/EICGroup_Phase_3_Primary,Phase 3 Primary,Phase 3 Primary,,,,,,,,excellence in cities group terms,http://education.data.gov.uk/def/school/EICGroup_TERM
